feature1,feature2,feature3,target
4.986502775262066223e+01,2.199611561302639728e+01,1.071453665403432893e+02,8.573900613681732352e+01
3.942289071044099558e+01,2.323597969851370593e+01,1.075820523874994024e+02,7.495776653841336667e+01
5.822544912103188608e+01,1.758406768850312929e+01,1.159031486124831929e+02,8.527947147841264552e+01
3.779156350028977585e+01,2.786993381645016399e+01,1.413949005836661570e+02,9.699253500899843061e+01
5.208863595004755354e+01,1.387117168498829400e+01,1.058862395076815091e+02,7.274284984502534712e+01
3.040329876120224384e+01,1.267812559895089919e+01,9.236554561438751421e+01,5.897738263864130914e+01
3.671813951101569273e+01,2.112225909279986169e+01,9.961638531712007705e+01,6.877703343558064830e+01
5.196861235869123163e+01,2.523549151306077221e+01,7.346386142666322883e+01,7.727299802453728717e+01
5.738466579995410655e+01,2.841963845728934501e+01,8.957930303366413227e+01,9.272077080676962169e+01
5.171368281189970162e+01,1.770557868565530057e+01,9.386076342830344288e+01,7.604662966206942087e+01
4.884351717611759369e+01,2.539340416715647919e+01,9.213867403098110742e+01,7.960278945012123586e+01
4.698896304410710911e+01,1.980745765249646340e+01,1.022853230805058331e+02,7.907010965065501296e+01
3.521478009632572537e+01,1.913686350029590244e+01,8.766370101426699080e+01,7.044378550598112554e+01
4.280155791605291427e+01,2.441829968743336110e+01,1.168154600098670670e+02,7.549767019301921778e+01
4.539361229040212464e+01,2.326161439206709858e+01,1.000031059737729606e+02,8.640704553259296006e+01
6.057122226218915273e+01,1.211803921507875259e+01,9.986049518292078631e+01,7.310413305065995360e+01
5.343618289568461677e+01,2.738270174862947925e+01,9.508157925230622709e+01,9.022925698809069672e+01
3.236959844637266315e+01,2.690045677073725727e+01,1.023278602578846801e+02,8.514994004366258196e+01
5.324083969394794735e+01,1.687218649245235369e+01,1.123764739700145157e+02,7.372161734276880907e+01
4.614917719583683464e+01,2.197901766718704408e+01,8.699304676433649774e+01,7.200011881570608807e+01
4.323077999694041296e+01,2.247015093141369491e+01,9.012825266387115164e+01,7.417530343594945919e+01
5.611676288840867954e+01,2.130336882911953467e+01,9.544410956835002935e+01,7.833688930403064887e+01
6.030999522495950771e+01,1.724847423077289932e+01,7.981193614790177548e+01,8.347143041296180854e+01
5.931280119116198790e+01,1.664188316030974235e+01,8.771113210417753692e+01,7.165613955007196978e+01
4.160782476777361438e+01,1.987222964504277201e+01,9.285668689683011223e+01,6.972986012955283286e+01
4.690787624148785540e+01,2.586364509629682118e+01,1.131158377106909114e+02,8.944700870752227218e+01
5.331263431403564113e+01,2.271800077297216092e+01,1.039384199350288753e+02,7.908869643471263089e+01
5.975545127122359190e+01,1.814692833956947027e+01,1.029038486705131703e+02,8.054679068546778353e+01
4.520825762154709793e+01,2.385849355324172194e+01,1.127634694325195852e+02,8.665062821067036225e+01
4.814341023336182701e+01,5.757286896849622693e+00,9.793942317400905040e+01,5.869797432319062125e+01
3.893665025993971796e+01,2.574382850186051641e+01,1.058569727489333445e+02,8.165107686238275164e+01
3.803793375919329378e+01,1.130143110610950252e+01,9.845167370601255641e+01,5.946952575648995776e+01
5.812525822394198372e+01,1.818779529298434028e+01,1.039804352409944244e+02,7.450976248994669504e+01
6.356240028570822886e+01,1.440165052686928071e+01,9.125862013582626275e+01,7.804873287254133629e+01
4.927989878419666070e+01,1.352659262139547103e+01,6.341774262585356325e+01,6.867184868376517670e+01
6.003532897892024067e+01,2.580413393689259749e+01,9.798581256720544275e+01,9.047037713781006119e+01
5.361636025047634035e+01,1.766149399344054416e+01,1.213412220414990941e+02,8.553066011605430674e+01
4.354880245394875971e+01,2.173251940865358023e+01,1.138932310336238913e+02,8.548500760303014090e+01
5.361395605508413809e+01,1.976539710560408025e+01,1.144809622688675574e+02,7.852309075219373824e+01
6.538036566465969202e+01,2.238520413611560755e+01,1.185419608270932628e+02,1.036275893344445933e+02
4.964173960890048676e+01,2.038410945530127805e+01,1.013298638644215544e+02,8.069240429225224887e+01
6.564643655814006706e+01,1.358503887905715146e+01,1.029597356110839286e+02,8.817247011270933399e+01
2.380254895910255541e+01,2.498133409723569898e+01,9.073522156848474651e+01,6.543427688915959095e+01
5.821902504375223941e+01,1.753121708419343605e+01,9.525890715959425847e+01,8.781495478357564366e+01
5.087047068238171477e+01,1.221709050670124519e+01,1.092365672465671196e+02,7.674249159337639981e+01
4.700992649534132539e+01,1.785942419517043689e+01,1.180582665575322494e+02,8.311895267839665280e+01
5.091760776535502231e+01,2.750379895317155388e+01,9.790830586478500663e+01,8.900597665768461297e+01
3.012431085399107289e+01,2.425110871056746475e+01,9.324716102722882738e+01,7.089499109747289651e+01
4.780328112162487741e+01,1.825673932796070531e+01,1.000079193828489537e+02,8.181476186158933217e+01
5.357112571511746069e+01,1.825371147840785468e+01,1.090181012339367186e+02,8.209724635106940127e+01
6.477894044741516666e+01,1.839182474391308730e+01,7.834217775799686478e+01,6.812696472586658558e+01
4.481729781726352257e+01,3.038373991780420624e+01,6.555728570294142799e+01,7.295039021234423160e+01
4.191506397106812187e+01,2.190967726115776770e+01,9.174194725762625069e+01,7.384250011524751756e+01
4.498242956415463567e+01,2.215020823595534694e+01,8.168931361128761637e+01,7.512825366443779274e+01
5.915402117702073781e+01,2.515141727015921091e+01,9.237789703529033147e+01,8.718913797878903438e+01
5.328751109659684460e+01,2.119394579513256716e+01,9.778329521773792976e+01,8.750633301674720599e+01
4.470239796232961282e+01,1.870478927089648380e+01,9.320127386465479447e+01,6.300181894544390104e+01
5.513267433113355764e+01,1.901825075457511005e+01,1.217870130170611844e+02,8.764228165870106579e+01
5.097077549348040293e+01,1.964199370292968183e+01,1.049011714690348072e+02,7.143623550403049194e+01
5.968644990532889238e+01,1.981388881745079189e+01,1.045071153941624260e+02,8.877058762927497071e+01
4.297946906122647448e+01,2.363814771818490001e+01,1.093331071606510250e+02,8.218315036842039945e+01
4.672337853402231644e+01,2.025972942903649709e+01,8.291750323328847116e+01,7.464666541196208982e+01
4.607891846867842389e+01,2.366320038607789655e+01,1.155866768113040308e+02,8.179188793807506386e+01
3.536485051867881424e+01,1.959641709945708854e+01,9.886353570196810381e+01,7.725451114756710069e+01
5.296120277064576243e+01,2.039317595158045293e+01,1.100572092586181867e+02,8.917819862509912809e+01
5.261055272179889641e+01,1.000899657733946135e+01,8.392214150439767195e+01,6.641043622008554337e+01
5.005113456642460790e+01,2.458163837351240844e+01,7.669361850975903394e+01,7.688403265003769604e+01
4.765412866624853194e+01,2.173244237948996371e+01,1.122683448703754294e+02,8.648578507610049826e+01
3.584629257949585934e+01,2.499005054929826031e+01,1.056461428914627447e+02,7.607058697640790967e+01
4.579354677234641002e+01,5.518723109031553165e+00,8.646922668463734851e+01,5.973778741750582810e+01
4.657285483473230414e+01,3.044187352390363799e+01,8.695505378087958093e+01,9.415059625193399029e+01
4.197722730778380651e+01,1.930205185922413236e+01,1.168815217662215389e+02,8.456858521472325663e+01
4.838714288333990510e+01,2.554091408368758209e+01,8.215882160699007386e+01,7.584230247515502299e+01
5.404050856814538406e+01,1.480047036437234453e+01,1.246400942988394434e+02,8.397993359733685281e+01
6.886185901210529892e+01,2.306386952531284962e+01,8.649068898028197339e+01,8.158907191171941520e+01
5.174577812831839196e+01,1.473292218413171994e+01,1.095758788841257427e+02,7.928711090623336588e+01
5.257550390722764178e+01,1.688115519652097518e+01,9.507072286376522641e+01,7.731937211288125411e+01
4.925554084233832697e+01,2.957015676933393067e+01,1.090478114662351459e+02,8.347722028657959470e+01
3.081228784700958556e+01,1.904658799618326626e+01,9.183828996828711411e+01,6.000461728984903687e+01
4.973486124550782961e+01,2.108716436589861587e+01,9.755810640891559160e+01,7.802376530078808514e+01
5.060230209941026658e+01,2.435033865344377091e+01,1.006137876309358177e+02,8.320139498741427531e+01
7.463242112485286839e+01,2.247840943986302165e+01,8.496718816327791046e+01,8.373307366215139780e+01
4.807639035218877410e+01,2.075209452571788304e+01,1.111123651813018824e+02,8.421931180810732087e+01
5.301547342333612534e+01,2.182480501233112591e+01,9.230179650292622284e+01,8.164540972204584079e+01
4.965288230294756744e+01,3.201707792619137649e+01,9.657100126989972466e+01,9.124688938398074356e+01
3.831321962380467738e+01,1.971190601483207416e+01,8.508475938087231327e+01,6.455736734317069647e+01
6.142822814515020724e+01,2.100549523357483750e+01,6.156499511807034253e+01,7.963374252036882694e+01
5.751933032686774538e+01,2.525327198003806117e+01,9.713458356099746993e+01,9.648100217322026140e+01
5.791031947043046557e+01,2.552762966478992013e+01,1.361892313241937416e+02,9.802727731098856623e+01
4.090612545205260631e+01,2.593515152780189936e+01,1.117690643184703561e+02,8.204512926915558069e+01
6.402794310936099009e+01,2.319365111014592173e+01,9.971109430398408335e+01,9.221571950511081184e+01
3.598148937207719200e+01,1.428497543634758316e+01,9.605663756187598779e+01,6.215955957948356314e+01
5.586857093800270491e+01,2.816715766150547751e+01,1.003369883921807002e+02,9.113898517714596892e+01
7.190455625809978812e+01,1.426827303490656007e+01,1.082067867276281561e+02,8.923450754784957439e+01
4.009463674869311944e+01,2.151317732619516576e+01,8.228780777036732275e+01,6.100269305935449182e+01
4.433702270397228062e+01,1.622862074990321091e+01,1.167148254200330797e+02,8.324881550214325898e+01
5.099651365087640897e+01,1.967930826703503655e+01,1.107307197316186631e+02,8.269604528701256640e+01
4.496524345883801033e+01,2.164381205151740062e+01,1.107727858856190153e+02,7.962956623411467660e+01
3.449336568933867397e+01,2.160678607725136402e+01,1.065771360821459126e+02,7.470179619090750123e+01
5.068562974806027199e+01,2.210960377117642395e+01,1.002942498654098529e+02,8.177476113416739167e+01
3.937696286273894941e+01,2.806855634529323495e+01,1.100929185395022927e+02,7.774261809034740622e+01
5.473592430635181927e+01,2.226767150756990077e+01,1.088772120061206721e+02,9.422702270136217351e+01
4.080575765766197094e+01,1.877921682354675781e+01,9.468938933588464124e+01,7.155138397920556770e+01
6.549934405017539518e+01,2.482043584144178539e+01,9.139597340654648860e+01,9.216799770901864974e+01
4.216746707663762805e+01,2.594735244462320267e+01,1.015278444289297965e+02,8.743665865341580457e+01
4.677938483794324043e+01,1.386196092431503857e+01,1.232353022724278162e+02,7.188882392207652572e+01
5.813517217369669510e+01,2.298700034924928914e+01,8.141339386519149457e+01,8.344336416068108520e+01
3.769135683566045003e+01,2.350586371155448973e+01,7.798712101371339145e+01,6.911064572131566308e+01
5.227459934604129188e+01,1.851218248320003923e+01,1.024714126185477454e+02,8.332719631450747499e+01
6.307142754282428143e+01,2.687853406655809607e+01,1.007633155278402768e+02,8.338281220787646930e+01
3.392516765438772097e+01,1.924972206483736770e+01,1.026001249655561196e+02,7.034681629345919873e+01
5.184633858532303918e+01,2.062788226735771246e+01,1.036592979686274987e+02,7.876031412515921204e+01
5.259882794248423465e+01,1.913464087858065099e+01,9.665196618047792754e+01,8.041788763285303787e+01
5.781822871777310269e+01,2.007789523790733810e+01,1.223479515790312320e+02,9.205719505492574228e+01
3.763049289121917695e+01,1.451862456552399117e+01,7.598644032285227468e+01,5.549539854698392816e+01
3.679543386915723602e+01,1.279974558702852860e+01,8.757254462829631336e+01,5.646830570662152837e+01
5.521941565616897662e+01,2.797252531612485882e+01,9.845117859776428304e+01,9.015876494397696206e+01
5.296984673233185958e+01,1.576519325840836139e+01,7.535216783268748486e+01,6.352559448948615994e+01
5.250492850345876406e+01,1.504303825271846407e+01,9.736218393351893496e+01,7.772268381230784939e+01
5.346448209496975323e+01,9.233049431981426025e+00,1.249220524859202754e+02,7.344248010940144411e+01
4.319975278421509302e+01,1.680519126155248699e+01,1.003132973244394321e+02,5.732515400669416294e+01
5.232253697161003458e+01,1.338455103296250925e+01,1.034605135857802480e+02,7.138677351798506265e+01
5.293072473298681047e+01,2.821007580068184595e+01,8.109752852241129517e+01,7.945399277981515240e+01
4.285648581973632076e+01,2.504908544671317117e+01,9.075457887940783053e+01,7.055714003244159471e+01
6.865774511144756787e+01,1.655924827411138267e+01,9.437205429514094135e+01,7.632445358208686059e+01
5.473832920911787880e+01,3.126217902672154381e+01,9.523427354865648908e+01,9.400110386038657850e+01
3.808696502797351258e+01,2.490882743495797058e+01,1.192246569250565358e+02,9.134467665469443887e+01
5.656553608633829811e+01,1.837584308245688902e+01,1.083653659108768750e+02,8.440931188470536028e+01
4.025318329772678538e+01,7.502971425632134483e+00,8.332813064594452612e+01,5.109607961232661921e+01
5.787084603742452060e+01,3.145471286295370916e+01,1.036975716764800666e+02,1.000698709330542471e+02
6.158595579007403842e+01,1.305213766618201987e+01,1.074733262274517784e+02,7.640208941159600897e+01
4.179317681648289806e+01,1.177300626521554072e+01,1.171022355778190018e+02,6.668186475403007307e+01
5.963376129244321788e+01,2.511285216004820242e+01,1.237081102985256109e+02,9.129292298667220962e+01
5.412780926936498105e+01,3.219876203169636142e+01,8.477358712258197215e+01,8.237535117573412435e+01
5.822060159994489936e+01,2.692136409255259011e+01,8.783713733184492867e+01,8.581746037779180369e+01
6.896792982653947490e+01,2.281954560026179735e+01,8.113633211628075514e+01,8.699858671806877908e+01
4.754611883997129240e+01,2.297377170832643145e+01,9.648970211339528191e+01,7.980537775392149058e+01
4.246263835642510287e+01,2.426707779390153874e+01,1.069953756166950143e+02,8.037059057616610858e+01
4.110485570374476794e+01,2.379464294893382714e+01,1.148100177488365290e+02,7.882027441176003890e+01
4.184189715034561630e+01,2.140595711984687810e+01,9.886073464536215738e+01,7.930754847102255667e+01
4.922898290585895609e+01,2.052100551975938103e+01,9.520228715117734453e+01,7.121472462226101641e+01
5.341151974816644099e+01,1.968703436050238764e+01,1.022763698837311068e+02,8.489325164102280041e+01
5.276690799330019388e+01,1.623017705566661917e+01,8.747285647554966204e+01,6.709043831148130721e+01
5.827183249036023938e+01,1.859662461566612990e+01,1.313430808254215947e+02,8.709261384484076984e+01
5.013001891877907212e+01,1.153521592902307269e+01,7.588508459322912358e+01,5.433886799910757759e+01
6.453534077157317483e+01,1.950830186602625105e+01,1.027711086834358696e+02,8.400195449562068006e+01
4.735343166762044120e+01,1.505704446424541310e+01,1.303540932884446022e+02,8.572795946982797943e+01
7.720169166589619181e+01,1.448205341392114498e+01,1.001019976683999602e+02,8.858804967239323958e+01
5.625667347765006099e+01,2.089947075576739266e+01,9.714941447497758986e+01,8.724463654837936133e+01
4.142842443583717227e+01,2.696001143172299663e+01,9.463831865784359820e+01,8.406843426300893896e+01
3.929107501938887737e+01,2.459158303001156298e+01,9.729412477356387967e+01,7.282532543512563450e+01
5.482472415243185537e+01,1.214749698188411386e+01,1.205927271201479556e+02,7.651323046888346369e+01
4.776537214674149112e+01,1.505185931714831327e+01,6.682207133005739763e+01,5.809054300737862064e+01
5.714000494092091742e+01,2.470385593994107865e+01,1.230015055194448905e+02,1.017679557744184109e+02
5.473237624573545190e+01,1.508756303230845219e+01,7.864064271324782851e+01,6.307951334348066297e+01
4.927171087343127454e+01,1.887683425001487691e+01,9.600021506148377171e+01,8.055660950212417504e+01
4.153206281931595356e+01,2.275026049512275961e+01,9.356133369552007650e+01,8.059951346300515240e+01
3.485152775314135454e+01,1.515827772568182397e+01,1.088282990465608009e+02,7.741228786993754341e+01
4.553485047932979057e+01,2.052687753072979859e+01,7.602813472174378262e+01,6.815968572991630481e+01
5.856398794323472146e+01,1.332987252540897671e+01,1.069325899912291362e+02,8.091922879737768426e+01
5.214093744130204300e+01,1.699316178024393054e+01,1.303646443493027789e+02,9.697991534442878958e+01
3.754261221288011541e+01,2.159890967071268619e+01,7.955238993110783952e+01,6.546750630595914799e+01
5.173180925851181655e+01,1.203503133234165290e+01,1.028455925141559391e+02,6.348641874465087653e+01
5.385317379728837039e+01,2.220237368980199477e+01,9.007026733305086452e+01,7.119046535678302234e+01
4.116142563798867116e+01,1.990181100536659287e+01,1.063883080928955422e+02,7.994293859760956877e+01
5.153725105945527929e+01,2.276244977208573772e+01,1.002872166612362861e+02,7.375397921430848669e+01
5.058208718446000063e+01,2.111957067032330571e+01,9.037769636433534970e+01,7.588624204122895378e+01
3.857029702169376861e+01,2.682070214986921997e+01,1.073180842730661055e+02,8.585198230780457607e+01
5.357787360348283556e+01,2.062612251323953672e+01,1.270652216468011488e+02,9.058572799581877177e+01
5.560784526368234282e+01,1.785297229437373545e+01,9.713644312409051906e+01,8.049564664323766294e+01
6.083051243175276568e+01,2.061148751516141786e+01,1.107963691322227362e+02,8.949940125274117975e+01
6.053802052034902914e+01,2.271649014518193965e+01,8.060090563193254809e+01,8.810339919053957658e+01
3.622330632042908860e+01,2.024430035162852093e+01,8.565345434772986266e+01,6.333926798279374992e+01
4.062174960084877284e+01,2.020295845601941309e+01,1.070860941682056620e+02,7.329527750581671341e+01
5.515035267208659775e+01,1.649004156096622253e+01,1.222617404280394737e+02,8.017845111126048607e+01
5.513785950912208733e+01,1.668549541224525967e+01,1.053342002317849051e+02,8.334274337810387578e+01
5.515047686306047581e+01,1.298697364100153351e+01,9.530412954215267973e+01,7.625283860535319036e+01
8.852731490654721824e+01,2.874788371593469805e+01,9.998937108135031337e+01,1.110140558333928595e+02
5.570890510693166675e+01,1.378068382304357442e+01,8.124388399045423625e+01,7.468190667270403083e+01
6.135565640180598734e+01,1.653547401102046166e+01,1.090677298953305012e+02,7.735051164584479011e+01
5.954001763493202759e+01,1.640796367215401119e+01,1.132349959348511419e+02,9.176618456226185572e+01
5.651391251305798136e+01,2.447462188472220745e+01,9.321864500750379534e+01,9.320828912900806529e+01
4.684730755359654353e+01,1.852525160853986108e+01,9.294936778360747098e+01,7.721687602835707764e+01
5.758969220493267471e+01,2.623871036336866780e+01,1.039881734447807276e+02,1.003867451157982487e+02
4.227174785462428019e+01,1.663254687878065852e+01,9.344920395939107038e+01,6.084657533127737850e+01
4.763181393259991125e+01,2.139497081111900911e+01,9.900801078061266480e+01,7.657003449251331517e+01
4.514636452170896774e+01,1.582326473370121356e+01,1.314958268374977308e+02,7.733333068913547947e+01
5.081874139386322753e+01,3.072574563886693966e+01,9.629461448881005481e+01,9.477604642900168130e+01
7.314658566673509199e+01,1.406200790485243601e+01,9.462489771968166963e+01,7.658446793708424138e+01
3.132734807408251854e+01,2.154910355113513631e+01,9.028687291547261395e+01,7.239613591973264306e+01
5.686260190374513712e+01,2.316888440466049204e+01,1.111628795724990511e+02,9.643550682919843098e+01
3.387284128810348705e+01,2.206899548725749227e+01,9.728163740172846019e+01,7.607972094969926502e+01
4.528068134210566598e+01,1.907356170561145703e+01,9.025940442517861584e+01,7.402519116364766205e+01
6.088950596967366380e+01,1.935089650133286909e+01,1.198195604840951773e+02,8.467233022716108337e+01
5.064280019095463103e+01,2.021905735989554742e+01,1.212940450677045590e+02,8.173822761703651452e+01
3.922255222070693748e+01,1.926498999185755778e+01,9.099364651391942971e+01,7.627545258124169436e+01
4.284696290740031799e+01,2.481939558397454704e+01,7.200190072959075849e+01,7.670407139287350162e+01
5.679597748934676105e+01,3.105261500795675644e+01,1.151127053475538276e+02,9.999984076159991275e+01
4.269633368282863728e+01,1.721254107496083208e+01,8.973055261359994006e+01,6.683283418661784481e+01
5.216458589581974792e+01,1.315098510210461136e+01,1.118593839874415323e+02,6.529225090111097529e+01
5.045571839903814038e+01,1.955858975824372692e+01,7.044844273432246951e+01,6.447843763628608826e+01
4.348399652394182624e+01,3.289854668827159401e+01,1.133889600744896313e+02,1.047940377459423189e+02
7.143944089325324853e+01,1.598162716015134599e+01,8.183242106078827760e+01,7.304512150203238718e+01
5.633919022318011116e+01,2.819558402722033819e+01,1.109614617859978694e+02,9.624013358615921732e+01
2.974857413342392931e+01,2.838850407038220425e+01,1.002140960175465096e+02,8.404194062241055008e+01
5.186454314769427754e+01,1.723205879146002673e+01,8.569090870905033341e+01,6.604340139630281215e+01
4.338213535231611928e+01,2.284491539592637821e+01,9.389445530609829405e+01,7.819685511700463110e+01
5.852433334796224074e+01,2.814198311564268806e+01,1.102947768543505163e+02,1.008105571566107841e+02
4.207479261567299034e+01,1.810436129506256364e+01,1.015884167967285094e+02,7.330165151046637106e+01
4.885263558533100792e+01,1.898209819948819188e+01,1.087661947070872657e+02,9.417670932251135696e+01
5.504987278980457432e+01,1.709159543025678119e+01,1.296466087677322889e+02,7.858583724713913909e+01
5.865755194170121456e+01,1.492621634653566609e+01,7.653637582433422892e+01,7.549479098341306837e+01
3.799703592944223374e+01,1.675361227466996539e+01,1.242581886245293674e+02,7.551630059470156198e+01
4.665498764159051603e+01,1.388029866618871822e+01,1.015653390628481958e+02,7.431305471325956091e+01
4.525054688839043848e+01,2.017041734129612962e+01,8.651823927515307844e+01,7.499178179479272899e+01
4.346670767426287796e+01,1.615013384470679014e+01,8.004529561391515813e+01,6.146132214940415395e+01
6.765454240281096077e+01,2.116892955895373873e+01,9.716319413834449392e+01,8.952392687595001064e+01
5.404981710960955610e+01,1.222052176898186460e+01,1.138247516788668889e+02,6.654745292425164394e+01
3.739116045664954413e+01,2.165440116107228619e+01,9.808676319433698154e+01,7.712312808276956844e+01
5.917861947054775840e+01,2.416764480804462423e+01,1.226673239537102091e+02,9.688147302099311275e+01
7.122156197012633072e+01,1.003132178714272271e+01,7.823236464922661071e+01,7.431137736761792212e+01
6.032465260551146713e+01,2.187028284923786003e+01,9.981866578230918208e+01,9.164285708196966596e+01
3.480630034045987031e+01,2.613834496236646032e+01,8.121409833380320720e+01,7.497149282625919398e+01
4.515765927133748647e+01,1.395179490654397370e+01,1.054544782393745237e+02,7.169777409432525417e+01
6.266911149186622509e+01,2.836286193418851553e+01,1.133033108514595000e+02,9.495564163909071453e+01
4.292330534381218854e+01,2.209509504683022740e+01,9.368857309478420348e+01,7.252123483829237216e+01
5.443819428146228745e+01,1.647494072120795749e+01,6.093679215059298571e+01,7.120373675224523424e+01
5.774634053429336689e+01,1.972115461171146933e+01,1.029842222019474178e+02,9.061549949031456208e+01
4.073069528421916630e+01,2.279163456260861054e+01,1.065510782760026416e+02,7.849008041848043149e+01
4.940474643938200217e+01,2.038002695706205714e+01,1.060644213244254672e+02,8.120774570175947815e+01
1.758732659930927156e+01,2.269377996223184724e+01,1.185367328773323123e+02,6.706414724256370619e+01
3.975612358665710389e+01,1.539663203460316865e+01,8.393419480526426923e+01,6.939806290276887069e+01
4.747431848606839822e+01,2.084680412018039064e+01,1.102032415817567426e+02,8.514138078023658807e+01
3.752216818035150681e+01,1.293142751547510017e+01,1.178876126871696215e+02,7.935116809721550624e+01
6.632411303931635871e+01,1.944386969325649872e+01,7.332118623990224648e+01,7.409944063763796862e+01
3.569858622039367191e+01,1.548046179267605105e+01,1.047947773887846523e+02,6.597424098295240924e+01
4.559955513303016517e+01,1.632235028705116520e+01,9.243730253488492110e+01,7.127501828406981588e+01
5.130740577286091053e+01,2.618046587605218889e+01,9.877715990347530806e+01,8.993585759736451735e+01
6.441273289066116092e+01,2.545655060297134398e+01,1.052151472530750453e+02,9.324043315708054536e+01
3.564137848820560350e+01,2.304569060453588492e+01,9.269157153829671358e+01,6.891818397876637903e+01
6.163163752154959241e+01,1.453843617663710575e+01,8.986437881257582205e+01,7.962829346112992823e+01
5.010233061019587097e+01,1.841795775152598935e+01,1.005122862623203730e+02,8.091207729835313955e+01
4.018491348952048980e+01,2.606548849989591687e+01,8.369131091705796166e+01,7.189706571693410808e+01
5.462103474263270897e+01,2.070858456819952309e+01,8.371262306672221598e+01,8.405181977869993659e+01
5.199059695573470208e+01,3.159664769990847333e+01,1.101905992443475526e+02,1.028194490370447909e+02
4.399783122841205341e+01,2.196658919697186008e+01,8.276808947262016147e+01,7.386073197859725781e+01
5.069802084990018898e+01,2.096024558245015612e+01,1.099946875136381834e+02,8.389770068986190665e+01
4.614686403138239967e+01,1.845441767898749319e+01,1.069388693928092664e+02,8.007068290389850063e+01
5.113517345251248258e+01,2.066770452391141077e+01,7.411289906814104711e+01,6.829418652411096957e+01
5.662130674521046814e+01,1.923765081809727917e+01,8.983653021496516544e+01,7.849695081463192992e+01
6.586016816145351527e+01,2.354054338344295161e+01,1.179116410457105815e+02,8.579031073152556530e+01
3.762184501173150863e+01,2.478351158397292053e+01,8.528251703290477792e+01,7.851816974401937443e+01
7.133033374656267256e+01,1.607005269746025178e+01,9.303393606535918536e+01,7.505194481763210490e+01
3.047912200477498246e+01,1.334383523221110934e+01,1.069309133987784435e+02,7.084853644281935203e+01
4.848214904964416405e+01,1.081897313448351738e+01,1.117508576392389301e+02,6.909849910814172347e+01
5.588317206484576616e+01,2.253995663456271714e+01,9.622691670933257058e+01,8.279927409704203001e+01
5.280991867735032486e+01,1.448316696913063240e+01,9.103734707962537698e+01,6.795729429509700026e+01
4.377300480179405895e+01,9.235547035237585689e+00,1.213355479254776128e+02,6.792962885121502836e+01
4.791877749642724638e+01,2.194289302265482178e+01,1.260834949569636763e+02,9.520856558822869431e+01
